name	name_en	geometry	rank	federal_subject	population_2023_estimate	population_2021_census	change	land_area_km2	pop_density_per_km2
Камчатский край	Kamchatka Krai	MULTIPOLYGON (((168.44560249999998 54.5113482, 167.69580419999997 55.0258415, 167.11917449999996 54.984568599999996, 167.17439489999998 54.7002754, 167.91249990000003 54.325182600000005, 168.44560249999998 54.5113482)), ((167.02358529999998 54.7064847, 166.47456939999998 55.485401499999995, 165.93466859999998 55.5645946, 165.4690128 55.4022713, 165.49277830000003 55.1068639, 166.42510990000002 54.5342362, 166.82590820000001 54.50066699999999, 167.02358529999998 54.7064847)), ((174.50239390000002 61.6078007, 174.1588946 62.4242903, 173.67219 62.5468191, 172.8545321 62.34764359999999, 172.0779099 62.465021, 171.48246990000004 62.294205500000004, 170.1942938 62.29532910000001, 170.04804930000003 62.674604099999996, 168.46636790000002 63.083485499999995, 169.64167459999996 63.6544127, 168.4827236 64.31724100000001, 167.6876459 64.31889199999999, 167.23155299999996 64.62318259999999, 165.84849040000003 64.54776530000001, 165.13794650000003 64.85457679999999, 164.894991 64.67464809999998, 164.224707 64.93746890000001, 163.52395409999997 64.9235782, 163.2648238 64.69333869999998, 163.49569369999998 64.3581298, 162.80853780000004 64.1295534, 162.97103850000002 63.4803691, 162.2608133 62.952978800000004, 162.82742950000005 62.66117010000001, 162.7353409 62.265161400000004, 162.16287549999998 62.1662808, 162.5244722 62.083215300000006, 162.46644940000004 61.66573380000001, 162.00211630000004 60.8668293, 160.8453558 60.2835261, 161.0570696 60.0720711, 158.77086539999996 58.5534223, 158.0670051 58.219744, 156.53315049999998 57.9037047, 156.6268357 57.4917402, 155.6881021 56.79953180000001, 155.30842570000002 56.020604399999996, 155.2888242 54.8154157, 156.3093053 51.071689199999994, 156.83176790000002 50.6867341, 158.54258309999997 51.8507033, 159.1102135 52.865359500000004, 160.31607169999998 52.9908239, 160.410301 54.087389099999996, 160.89891840000004 54.348865399999994, 161.85199840000004 54.3150348, 162.44562259999998 54.6616862, 162.1228882 55.5737839, 162.43888880000003 55.95904949999999, 163.1397481 55.8126487, 163.6953562 56.1116537, 163.63402219999998 56.747168800000004, 163.14300539999996 57.2131686, 163.66962439999998 57.651097899999996, 163.97469329999998 58.46424439999999, 165.0369362 58.8175263, 164.99744100000004 59.25764439999999, 165.8942506 59.63267630000001, 166.51552959999998 59.6464962, 167.28232600000004 60.132759500000006, 168.3266658 60.38526649999999, 169.11663399999998 60.351693299999994, 169.87071459999999 59.8184377, 170.5567445 59.764342400000004, 171.1225324 60.30138439999999, 174.50239390000002 61.6078007)))	77	Kamchatka Krai	289033	291705	−0.92%	464275	0.62
Мурманская область	Murmansk Oblast	POLYGON ((35.04824 66.09830269999999, 36.0189292 65.7900005, 38.29073540000001 65.69181300000001, 39.7296661 65.91496090000003, 42.3157124 66.86190040000001, 41.3125962 68.59766450000002, 39.759706 68.37457219999999, 39.177328 68.4722913, 32.3721948 70.1148314, 31.4408114 70.0982719, 30.9388023 69.56073729999999, 30.085324999999997 69.65811099999999, 30.035163 69.424947, 28.4160861 68.91525130000001, 28.801449899999998 68.8693665, 28.647838200000002 68.19591340000001, 30.0173409 67.67356889999999, 29.040559199999997 66.96181890000001, 29.3225257 66.66286129999999, 31.5758572 66.6540029, 31.9369838 66.3510469, 32.587113900000006 66.5822128, 33.233307800000006 66.54937960000001, 35.04824 66.09830269999999))	65	Murmansk Oblast	657950	667744	−1.47%	144902	4.54
Пермский край	Perm Krai	POLYGON ((57.4062372 56.3426599, 57.24834870000001 56.8847787, 58.0693694 57.049412100000005, 58.030353600000005 57.611407699999994, 58.8473354 57.72583370000001, 58.586742900000004 58.041513900000005, 59.4536227 58.4780575, 59.105835400000004 58.77377990000001, 59.1967866 59.147133000000004, 58.36293530000001 59.46464039999999, 59.413641299999995 60.60399830000001, 59.3489689 61.6630673, 58.84388179999999 61.4950446, 56.6531242 61.524300100000005, 56.274500700000004 61.19185830000001, 55.2758778 61.14871320000001, 54.9768506 60.859908, 53.8758313 60.982651, 53.66397690000001 60.8471196, 52.8707305 61.09013110000001, 52.3609435 60.829175400000004, 51.892312300000015 60.881543099999995, 51.7715414 60.57991200000001, 52.355027799999995 60.4380924, 52.317282299999995 60.227188000000005, 53.62563610000001 60.1142326, 53.22274420000001 59.3584558, 53.90291620000001 59.0868358, 53.78559930000001 58.4555384, 54.436131 57.0310043, 54.020411900000006 56.753196200000005, 53.8058992 56.8195402, 53.8410198 56.5967205, 54.377579 56.3787016, 54.577733 56.534643499999994, 55.18575030000001 56.30480969999999, 56.5326315 56.3970311, 56.92133330000001 56.1038833, 57.4062372 56.3426599))	17	Perm Krai	2508239	2532405	−0.95%	160236	15.65
Свердловская область	Sverdlovsk Oblast	POLYGON ((64.92705520000001 56.77240020000001, 65.2531476 56.92050590000001, 64.83308819999999 57.648250100000006, 66.18485679999999 58.0109699, 65.95045990000001 58.6145443, 65.07186060000001 59.31186579999999, 63.8743126 59.461300900000005, 62.4835549 61.26097310000001, 59.4866989 61.9460689, 59.3489689 61.6630673, 59.413641299999995 60.60399830000001, 58.36293530000001 59.46464039999999, 59.1967866 59.147133000000004, 59.105835400000004 58.77377990000001, 59.4536227 58.4780575, 58.586742900000004 58.041513900000005, 58.8473354 57.72583370000001, 58.030353600000005 57.611407699999994, 58.0693694 57.049412100000005, 57.24834870000001 56.8847787, 57.4062372 56.3426599, 57.5976238 56.0853868, 59.0418325 56.1718059, 59.2228046 56.3553347, 61.10353190000001 56.1814382, 61.1610251 56.366287299999996, 62.0610577 56.1308206, 62.51557220000001 56.562949700000004, 64.17883569999998 56.460684699999995, 64.32789879999999 56.7565425, 64.92705520000001 56.77240020000001))	5	Sverdlovsk Oblast	4239311	4268998	−0.70%	194307	21.82
Вологодская область	Vologda Oblast	POLYGON ((47.117822399999994 59.598968600000006, 47.0347724 60.126380600000005, 46.59830770000001 60.064513500000004, 46.263783700000005 60.2371544, 46.76302530000001 60.2336791, 47.072163700000004 60.84448059999999, 45.3384055 61.19511770000001, 45.2511365 60.894040499999996, 43.95496299999999 61.05747739999999, 43.5237345 60.76637570000001, 41.824641799999995 60.9163869, 41.37768309999999 60.850319999999996, 41.3699251 60.641519, 40.4289276 60.783295200000005, 39.18438439999999 60.6396872, 38.4049459 60.80672739999999, 37.8167399 61.5298114, 37.02997210000001 61.6142319, 35.697878800000005 61.2074009, 35.175541300000006 60.7700717, 35.140137900000006 60.042845, 35.60557380000001 59.61438149999999, 34.72236260000001 59.0848519, 35.2890175 58.767487599999995, 36.11113890000001 58.72243730000001, 36.18168239999999 58.51164959999999, 37.070959300000005 58.86313930000001, 37.6282216 58.4829437, 38.064554300000005 58.73011100000001, 38.923262900000005 58.733331500000006, 38.989808 58.9560117, 39.6041195 58.9049253, 40.2040018 58.5492585, 40.9300717 58.57633560000001, 41.19000580000001 58.9560259, 42.0574483 59.122894800000005, 42.034862499999996 59.42954890000001, 42.86653210000001 59.16117270000001, 43.504047899999996 59.30588769999999, 43.534961599999995 59.17850000000001, 45.0396438 59.121812500000004, 45.9790284 59.171648499999996, 46.40891080000001 59.618645300000004, 47.117822399999994 59.598968600000006))	42	Vologda Oblast	1128580	1142827	−1.25%	144527	7.81
Владимирская область	Vladimir Oblast	POLYGON ((41.79276330000001 55.10142, 42.1287844 55.67835330000001, 42.96691890000001 56.145462300000005, 42.6141822 56.4067341, 40.565085200000006 56.6032884, 40.19282090000001 56.4357862, 39.8980776 56.772226100000005, 39.4020479 56.771016200000005, 39.2730244 56.5366738, 38.318130700000005 56.658578000000006, 38.5732421 55.99431870000001, 39.48284139999999 55.7449934, 39.8891021 55.8331955, 40.19092260000001 55.3650073, 41.79276330000001 55.10142))	33	Vladimir Oblast	1325150	1348134	−1.70%	29084	45.56
Калининградская область	Kaliningrad	POLYGON ((22.886658999999998 54.81408179999999, 22.589236099999997 55.070243, 22.0750563 55.02513800000001, 20.653783 55.38399999999999, 19.7311173 55.1016379, 19.414151800000003 54.6105811, 20.631083300000004 54.3663285, 22.6415445 54.353769799999995, 22.886658999999998 54.81408179999999))	48	Kaliningrad Oblast	1032913	1029966	+0.29%	15125	68.29
Челябинская область	Chelyabinsk Oblast	POLYGON ((63.35147949999999 54.1940745, 63.09753290000001 54.3334851, 63.1998212 54.6990849, 62.0169628 54.7238837, 61.966185100000004 55.0303115, 62.2847697 55.07821210000001, 62.06635060000001 55.30362739999999, 62.6200899 55.4905694, 62.0610577 56.1308206, 61.1610251 56.366287299999996, 61.10353190000001 56.1814382, 59.2228046 56.3553347, 59.0418325 56.1718059, 59.33263530000001 56.1646826, 59.2496461 55.5814599, 59.654930300000004 55.5918947, 58.709419700000005 55.279673900000006, 58.7270877 54.967863799999996, 58.24870090000001 55.1707911, 58.005081499999996 54.90615280000001, 58.1366176 55.2111268, 57.53010080000001 55.3370193, 57.131287699999994 55.0850495, 57.14108769999999 54.85244899999999, 57.9836007 54.396357300000005, 59.2662835 54.611518700000005, 59.617975900000005 54.9061115, 60.0018089 54.8641348, 59.7079825 54.1416393, 59.325654300000004 54.1877931, 58.9106186 53.92877190000001, 58.85492669999999 52.4258061, 59.165673700000006 52.27650250000001, 59.2640905 52.483909, 60.16299790000001 52.4001195, 60.00168699999999 51.993295, 61.067349 52.34759699999999, 60.714893999999994 52.662614000000005, 61.007962 52.978279, 62.130271 52.989365, 61.177053 53.310962999999994, 61.2586516 53.508037300000005, 61.592324000000005 53.525999000000006, 60.900425 53.627799, 61.227187 53.79567000000001, 60.997263 53.936025, 61.400586999999994 54.086863599999994, 62.5166073 53.9135313, 62.594767399999995 54.0738762, 63.35147949999999 54.1940745))	9	Chelyabinsk Oblast	3406371	3431224	−0.72%	88529	38.48
Новгородская область	Novgorod Oblast	POLYGON ((36.18168239999999 58.51164959999999, 36.11113890000001 58.72243730000001, 35.2890175 58.767487599999995, 34.72236260000001 59.0848519, 33.0051865 59.42653330000001, 32.4515951 59.108135300000015, 31.964321799999997 59.4327634, 30.6913996 58.716892900000005, 30.135006100000002 58.7490977, 29.895706799999996 58.4499903, 29.6287755 58.100213700000005, 30.533575300000003 57.8731627, 30.414743599999998 57.387103399999994, 30.745662799999995 57.263207900000005, 30.688803 56.9828498, 30.978756799999996 56.969897399999994, 31.3961943 56.9093961, 32.78857970000001 57.467192100000005, 33.2400436 57.411425799999996, 33.705873700000005 58.170305000000006, 34.6716455 58.0734704, 35.3039366 58.4097689, 36.18168239999999 58.51164959999999))	67	Novgorod Oblast	575867	583387	−1.29%	54501	10.57
Республика Крым	Republic of Crimea	POLYGON ((36.609722500000004 44.94066719999999, 36.668449900000006 45.6266206, 35.78521500000001 45.643321, 35.574750900000005 45.489533300000005, 35.2334204 45.79172990000001, 33.6152408 46.22621790000001, 33.54071890000001 46.0120312, 32.77270180000001 45.8266419, 32.20629830000001 45.4386318, 32.345547499999995 45.1785494, 33.29518710000001 44.9405202, 33.8971535 44.4787873, 33.696591000000005 44.191039700000005, 34.23751520000001 44.23218680000001, 35.632249300000005 44.8491155, 36.609722500000004 44.94066719999999))							
Севастополь	Sevastopol	POLYGON ((33.696591000000005 44.191039700000005, 33.8971535 44.4787873, 33.29518710000001 44.9405202, 33.110305600000004 44.5059764, 33.696591000000005 44.191039700000005))							
